ID	pRoof4	pRoof3	pRoof2	pRoof1	pRoofA	pRoofS	pTrans3	pTrans2	pTrans1	pTransA	pTransS	aR3	aR2	aR1	aRA	aRS	upIS	upIA	pHeight	pLen	pWid	pWHRat	pWLRat	pHLRat	aRHeight	aRDepth	antPArea	antPAreaR	antPLin	overjet	overbite	pArchCorM24	pArchCorM23	pArchCorM22	pArchCorM21	dArchAxial4	dArchAxial3	dArchAxial2	dArchAxial1	slMHeight	slMDepth	ttTotA	ttAvailA	ttRatioA	lowIS	lowIA	cHeight	pm2Height	m2Height	cLen	pm2Len	m2Len	cWidth	pm2Width	m2Width	cp2R	cm2R
16	-1.1115201401e-06	-0.00018741907783	-0.010321231802	0.34597429709	19.017631342	0.34467185908	0.00015617415285	-0.017699536862	-0.099397305286	31.086120647	-0.6029082241	-0.0020812137064	0.23096146174	-8.7361672071	23.846009214	-0.44201211205	-0.61601158946	31.63355067	13.162592488	34.706696035	38.180906342	1.1001020179	2.900713243	0.37925224788	9.741437462	27.636135769	164.12086271	0.51924606932	0.99059797652	7.4291410081	-4.3181544165	1.3415875156e-05	0.00028563828705	-0.054227824081	-0.17581003066	-2.308698729e-05	0.00025656024225	-0.11942957448	-0.31367718009	30.176050632	26.276412641	245.2304749	143.23802687	0.58409554084	0.93162630942	42.972750235	6.4319210953	17.943614919	15.028993226	19.165720279	35.366763728	50.271564329	20.533822175	31.835628704	39.292591812	0.644995026356116	0.522587623469749
17	1.3222580692e-05	6.2584276656e-05	-0.0078581534238	0.078837814934	7.4822934822	0.13133811699	0.0004443789364	-0.060978467487	0.89932621277	39.864520052	-0.83507816491	0.0041675968585	-0.35288343655	9.5179946633	21.608524436	-0.39610012094	-0.677297929	34.109703876	15.37974284	32.821517399	39.766060109	1.2115850594	2.5856128104	0.46858719703	11.459105009	24.675930036	186.5399665	0.5235185749	0.97563340044	3.0710406925	0.64541149139	5.4208195588e-05	0.00085506702	-0.068893580689	-0.55543124762	-5.818523604e-05	-0.00080007632567	-0.085799326614	-0.54892082454	27.482362994	30.106321611	189.85383493	137.64931726	0.72502784742	1.1012828885	47.759549538	3.2521923179	15.723881448	16.24769352	15.634523473	33.864521619	49.37246262	21.549699963	32.325803365	40.455656826	0.666640816924984	0.532674578877445
53	4.5714844677e-05	0.00028483137084	-0.010850281326	-0.024138730464	1.0294736486	0.017969638535	-0.0033679498287	0.20583614334	-4.6202456636	28.873313863	-0.55142211854	0.0090811951677	-0.89164540184	28.466445891	31.674985625	-0.61700963459	-1.422404397	54.891441655	11.781809126	35.437202366	40.322308724	1.1378524836	3.4224208092	0.3324700693	7.403827588	28.369342858	128.19125205	0.54019544842	0.98753770656	3.5822931442	2.2984122427	1.5066848582e-05	-5.7694543895e-05	-0.04390555497	-0.10049934501	-0.00010929166511	-0.00070513787045	-0.045835022902	-0.15362165867	23.446737663	30.136307735	136.03593298	90.261776343	0.66351422281	1.3502401253	53.476018535	4.616150776	10.628679062	12.300809335	16.838911178	30.929932471	44.418995225	24.121870191	32.144710553	39.838436204	0.750414913558733	0.605492396023768
52074	-8.5198252856e-05	0.00073182737243	-0.007314727159	0.17599745316	14.031732007	0.24991634057	0.00021724683928	-0.042831432519	0.95452197554	33.851267592	-0.67073821808	0.019751346316	-2.1655225213	78.195651031	36.632961438	-0.74355850877	-0.84497764976	40.197062786	18.071430338	40.738555679	41.824015829	1.0266445418	2.3143721911	0.44359526343	12.506212051	32.564621726	319.93567213	0.59310542274	0.97522861774	4.8940186724	3.3032412529	1.699879806e-05	0.00021920099844	-0.050370121655	-0.14004824784	-0.00012774317451	0.00060172306148	-0.038124656337	-0.49698198687	28.363189914	33.692060892	162.45297953	97.231881013	0.59852322375	0.84809623195	40.301151726	5.4336829583	15.349845201	16.342552599	17.755883374	35.06648106	53.11953498	24.878739188	33.434862201	42.979126303	0.744095759642637	0.578856326966875
100018	-1.6243726447e-05	-0.0002425171056	-0.00026581705213	0.20992075195	10.892346339	0.19243111568	8.6031148599e-05	-0.043590410496	0.93669907648	41.407584782	-0.88185389133	-0.0033856225344	0.36629257283	-13.4975536	19.199852823	-0.3482339638	-1.571041894	57.522420743	17.099886518	37.021198184	35.029808548	0.94620947636	2.0485404106	0.4618944647	14.471614378	31.079135448	225.09295872	0.52869414553	0.97125167125	2.8951060073	3.6655365303	7.4901146042e-05	3.9851871199e-05	-0.07571598742	-0.15544162136	-0.00030948002891	-0.0036726721703	-0.039557024884	0.27114531759	26.211675853	30.8315495	88.042764481	45.501802874	0.51681479043	1.1149727009	48.111611334	3.6977131694	14.696351508	13.128526454	15.534886944	32.309111433	47.595812941	22.853175076	28.174012748	34.704543087	0.811143775663347	0.658506726877513
100019	-7.4109078561e-05	-0.001532420079	-0.010748946112	0.15605044616	12.669776521	0.2248055095	0.0012953274878	-0.076940051412	0.72791984288	35.240058661	-0.7064699877	0.004413597751	-0.33908748141	7.9097779467	28.124865196	-0.53450811099	-0.96995538472	44.126225795	15.086378124	33.118530933	30.638528221	0.92511736958	2.0308736774	0.45552679118	11.558357003	26.135239124	197.95644432	0.50779758064	0.99248075259	2.1263945794	0.28427100047	6.1753722467e-06	0.000627520032	-0.089430463622	-0.38489710161	-0.00089997563014	-0.0048808587388	0.03785288529	0.011127654983	27.215159333	30.532126559	146.08139464	110.64598971	0.7574269809	1.1758343445	49.620168017	2.9854313208	14.063087548	16.56245922	15.33391611	31.835109573	48.384575042	21.495435965	27.41018676	32.453387457	0.78421340770901	0.662347990436467
100020	1.0684155857e-05	0.00022200826927	-0.015866632538	0.23361858447	16.015739158	0.28704269596	-0.00069587789403	-0.0092090511592	0.32911193484	35.156183889	-0.70427773469	-0.00050036308528	0.097096140899	-4.7656796398	29.114038854	-0.55691383523	-0.97415452594	44.249931063	12.561869833	29.913763077	35.684848652	1.1929240918	2.8407274655	0.41993612774	9.9420530712	25.191370262	153.44875792	0.59445229999	0.9615510957	4.7629238807	4.7767763319	7.1856898027e-06	0.00015518956347	-0.044206269053	-0.20307305198	-0.00012972954852	-0.00070156243854	-0.06236391792	-0.26757956872	21.202976757	25.427489903	84.966619675	39.109391154	0.46029124501	1.1400479149	48.744182092	4.2613136684	11.174897187	11.713076344	15.764252814	25.146099511	38.978791208	20.428001933	26.40232911	34.136453021	0.773719691467023	0.598421925102562
100021	-7.2729821139e-06	2.7421460962e-05	-0.0063400543886	0.15233137616	9.4488201673	0.16642447513	-0.00086988504733	0.011776678477	0.0015616646318	33.961685813	-0.67353600975	0.011162819737	-1.1047863529	35.926657486	22.323765201	-0.4106145218	-0.89244991863	41.747314488	17.029605486	37.153528307	47.97461427	1.2912532525	2.8171301037	0.45835769204	14.684285078	31.156967247	302.07592879	0.60853145031	0.92604370061	3.8377478625	3.0446954399	8.668352633e-06	0.00013382150862	-0.034303603924	-0.16142758958	-1.7921607991e-05	-0.00024618680468	-0.056241765139	-0.27680740581	26.060749564	33.610105863	95.337551956	57.730260866	0.6055353812	1.3480219406	53.430952687	4.1503463307	14.335879524	14.16273362	16.107632084	32.587208329	48.214411166	25.894279338	34.622563516	43.492367718	0.74790185094277	0.595375250800228
100022	-2.1633578034e-05	-0.00064189450899	-0.0045791366492	0.36095144942	18.014347226	0.32519656119	0.000552607746	-0.074076148538	1.5049983267	41.407379849	-0.88184753306	0.0066860079106	-0.70480761219	24.313312203	21.274675218	-0.38937460659	-1.144859773	48.863780983	20.152885824	39.572926286	41.252830646	1.0424508501	2.0469937162	0.5092594285	17.630030568	32.234125311	324.95928082	0.53890457296	0.95954552193	3.2732467898	3.078478887	-1.521336626e-05	-0.00038901395712	-0.043906764105	-0.1367931502	-0.00014366134523	-0.0018100283182	-0.031285098577	0.051452298887	30.31311876	32.234125311	118.16530231	60.019449638	0.5079278643	0.99532796279	44.865842844	2.9069512805	17.996588998	17.472220589	16.031094862	36.841233465	50.975666339	25.251539898	33.933676811	43.98390575	0.744143938148619	0.574108630586996
100023	7.1992012717e-05	-0.0018427232806	0.0026480237129	0.2523147975	8.0510880596	0.14145021547	-0.0020859485922	0.11817272508	-2.5408473438	37.847316543	-0.77700307267	0.027437250009	-3.1595919814	120.47647901	29.908498674	-0.57522289633	-1.4672584029	55.723879436	16.811527779	42.447462766	38.287485074	0.9019970236	2.2774542312	0.39605495084	13.115748134	34.768250381	234.66777227	0.54381682202	0.96191464243	3.961551868	4.0985973057	-2.1886899796e-05	-0.00011720935749	-0.035770273085	0.0040498822961	-0.00014859777281	4.2989092033e-05	-0.040150652257	-0.18575274318	24.726065572	34.272817324	96.915383437	52.282702045	0.53946752508	0.67094180234	33.859311942	5.0592461342	14.91821014	14.139281127	17.635323595	35.320150982	51.17223479	25.583573539	31.832043532	39.106070452	0.803705031167146	0.654209774679409
